Seq,ACCYMD,ACCTIME,PLACE,DEAD,HURT,CARTYPE,RSN
1,2010年1月3日,14:00,高雄縣內門鄉光興村台3線路段,7,2,廂型自小客貨車、營業貨運曳引車,車輛對撞
2,2011年6月26日,17:48,高雄市鳳山區國光路與五權南路口,1,18,自小客車,車輛撞行人
3,2013年2月15日,05:10,高雄市鳥松區美山路7號,4,1,自小客車,自撞
