sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
崙背,雲林縣,55,懸浮微粒,普通,0.9,0.26,30,43,42,15,7,7.5,0,0.6,324,"2026/09/09 23:00:00",0.2,13.1,35,0,120.34874,23.757547,38
新港,嘉義縣,59,懸浮微粒,普通,2.7,0.26,33,48,42,16,8,9.3,1.2,1,251,"2026/09/09 23:00:00",0.2,13.9,38,2,120.34553,23.554838,39
朴子,嘉義縣,53,懸浮微粒,普通,2,0.17,36,47,32,9,5,6.4,0.9,0.3,208,"2026/09/09 23:00:00",0.1,9.5,33,1,120.2478,23.46538,40
臺西,雲林縣,50,,良好,1.6,0.22,34,49,36,12,6,7.4,1,1.6,25,"2026/09/09 23:00:00",0.1,9.5,30,1,120.19933,23.702175,41
嘉義,嘉義市,62,懸浮微粒,普通,2.5,0.24,33,51,40,13,8,10.7,1.9,1.1,210,"2026/09/09 23:00:00",0.2,14.1,41,2,120.44125,23.464779,42
新營,臺南市,55,懸浮微粒,普通,1.8,0.22,35,47,31,9,8,8.4,0.3,1.2,191,"2026/09/09 23:00:00",0.2,10.2,35,1,120.31725,23.305634,43
善化,臺南市,48,,良好,1.3,0.19,34,51,34,11,7,8.1,0.4,0.4,124,"2026/09/09 23:00:00",0.1,10.5,29,1,120.29741,23.113377,44
安南,臺南市,54,懸浮微粒,普通,0.7,0.21,41,55,33,16,4,5.2,0.6,0.5,282,"2026/09/09 23:00:00",0.2,13.2,34,0,120.2175,23.048197,45
臺南,臺南市,57,懸浮微粒,普通,0.7,0.23,43,54,35,12,7,8.8,1.1,0.7,1,"2026/09/09 23:00:00",0.2,12.5,36,1,120.21948,22.989283,46
美濃,高雄市,50,,良好,1,0.21,35,54,24,9,2,3.1,0.6,0.7,71,"2026/09/09 23:00:00",0.2,11.7,27,1,120.53054,22.883583,47
橋頭,高雄市,57,細懸浮微粒,普通,0.8,0.28,33,52,37,21,13,14.2,1.1,1.3,96,"2026/09/09 23:00:00",0.2,14.6,29,1,120.30569,22.757505,48
仁武,高雄市,54,細懸浮微粒,普通,1.8,0.32,42,54,37,19,9,10.1,0.6,0.7,97,"2026/09/09 23:00:00",0.2,13.6,29,1,120.332634,22.689056,49
鳳山,高雄市,64,細懸浮微粒,普通,1.2,0.37,34,50,39,21,9,11,1.2,0.4,123,"2026/09/09 23:00:00",0.4,17.2,26,1,120.35742,22.628126,50
大寮,高雄市,61,細懸浮微粒,普通,1.3,0.21,31,45,,18,7,7.8,0.6,1.1,133,"2026/09/09 23:00:00",0.2,16.3,,1,120.42531,22.564137,51
林園,高雄市,71,臭氧八小時,普通,0.6,0.16,62,61,35,15,2,2.9,0.7,1.4,178,"2026/09/09 23:00:00",0.1,12.1,30,1,120.41175,22.4795,52
楠梓,高雄市,51,懸浮微粒,普通,1.3,0.33,31,47,36,15,16,17.2,0.8,1.1,79,"2026/09/09 23:00:00",0.2,11.9,31,1,120.328285,22.733667,53
左營,高雄市,58,細懸浮微粒,普通,1.2,0.34,39,52,36,17,15,16.2,0.6,0.9,129,"2026/09/09 23:00:00",0.2,14.9,32,0,120.292915,22.674862,54
前金,高雄市,54,臭氧八小時,普通,0.8,0.37,37,56,32,15,14,14.9,0.6,0.3,240,"2026/09/09 23:00:00",0.2,13,31,0,120.28676,22.633904,56
前鎮,高雄市,54,臭氧八小時,普通,1.6,0.45,41,56,37,17,14,15.4,0.4,0.2,200,"2026/09/09 23:00:00",0.2,10.8,29,1,120.308334,22.60445,57
小港,高雄市,54,臭氧八小時,普通,0.8,0.32,40,56,32,14,16,16.4,0.4,0.7,316,"2026/09/09 23:00:00",0.1,13.2,28,0,120.33774,22.565832,58
屏東,屏東縣,58,細懸浮微粒,普通,1.3,0.28,38,54,29,14,8,8.9,0.8,1,141,"2026/09/09 23:00:00",0.3,15.2,30,1,120.48803,22.67308,59
潮州,屏東縣,58,細懸浮微粒,普通,1,0.19,32,48,23,13,1,2.1,0.3,1.3,135,"2026/09/09 23:00:00",0.1,15,23,1,120.56117,22.523108,60
