county,sitename,aqi,pm2.5,pollutant,status
高雄市,林園,71,15,臭氧八小時,普通
連江縣,馬祖,80,11,臭氧八小時,普通
南投縣,南投（鹿谷）,97,18,臭氧八小時,普通
